Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
Nauru,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", … ,,2019,%,1.1.1,NAU
Nepal,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",3.8,,2019,%,1.1.1,NEP
Niue,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", … ,,2019,%,1.1.1,NIU
Pakistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",4,,2019,%,1.1.1,PAK
Palau,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", … ,,2019,%,1.1.1,PAL
Papua New Guinea,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",23.6,,2019,%,1.1.1,PNG
Philippines,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",1.6,,2019,%,1.1.1,PHI
Samoa,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", … ,,2019,%,1.1.1,SAM
Singapore,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", – ,,2019,%,1.1.1,SIN
Solomon Islands,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",19,,2019,%,1.1.1,SOL
Sri Lanka,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.2,,2019,%,1.1.1,SRI
"Taipei,China","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", … ,,2019,%,1.1.1,TAP
Tajikistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",2.5,,2019,%,1.1.1,TAJ
Thailand,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0,,2019,%,1.1.1,THA
Timor-Leste,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",16.1,,2019,%,1.1.1,TIM
Tonga,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", … ,,2019,%,1.1.1,TON
Turkmenistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",0.7,,2019,%,1.1.1,TKM
Tuvalu,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", … ,,2019,%,1.1.1,TUV
Uzbekistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",4.8,,2019,%,1.1.1,UZB
Vanuatu,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female", … ,,2019,%,1.1.1,VAN
Viet Nam,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Female",1.7,,2019,%,1.1.1,VIE
Afghanistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",38,,2019,%,1.1.1,AFG
Armenia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.3,,2019,%,1.1.1,ARM
Azerbaijan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1,AZE
Bangladesh,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",5.3,,2019,%,1.1.1,BAN
Bhutan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.7,,2019,%,1.1.1,BHU
Brunei Darussalam,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", – ,,2019,%,1.1.1,BRU
Cambodia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",10.5,,2019,%,1.1.1,CAM
"China, People's Republic of","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.2,,2019,%,1.1.1,PRC
Cook Islands,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,COO
Fiji,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1,FIJ
Georgia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",3.3,,2019,%,1.1.1,GEO
"Hong Kong, China","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", – ,,2019,%,1.1.1,HKG
India,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",8.3,,2019,%,1.1.1,IND
Indonesia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",3.1,,2019,%,1.1.1,INO
Kazakhstan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", – ,,2019,%,1.1.1,KAZ
Kiribati,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,KIR
"Korea, Republic of","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", – ,,2019,%,1.1.1,KOR
Kyrgyz Republic,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.2,,2019,%,1.1.1,KGZ
Lao People's Democratic Republic,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",10.3,,2019,%,1.1.1,LAO
Malaysia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", – ,,2019,%,1.1.1,MAL
Maldives,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1,MLD
Marshall Islands,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,RMI
"Micronesia, Federated States of","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,FSM
Mongolia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1,MON
Myanmar,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",1,,2019,%,1.1.1,MYA
Nauru,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,NAU
Nepal,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",3.8,,2019,%,1.1.1,NEP
Niue,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,NIU
Pakistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",3.3,,2019,%,1.1.1,PAK
Palau,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,PAL
Papua New Guinea,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",22.2,,2019,%,1.1.1,PNG
Philippines,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",2.2,,2019,%,1.1.1,PHI
Samoa,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,SAM
Singapore,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", – ,,2019,%,1.1.1,SIN
Solomon Islands,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",21.5,,2019,%,1.1.1,SOL
Sri Lanka,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.3,,2019,%,1.1.1,SRI
"Taipei,China","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,TAP
Tajikistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",1.6,,2019,%,1.1.1,TAJ
Thailand,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.1,,2019,%,1.1.1,THA
Timor-Leste,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",18.4,,2019,%,1.1.1,TIM
Tonga,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,TON
Turkmenistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",0.5,,2019,%,1.1.1,TKM
Tuvalu,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,TUV
Uzbekistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",9.3,,2019,%,1.1.1,UZB
Vanuatu,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male", … ,,2019,%,1.1.1,VAN
Viet Nam,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Male",1.5,,2019,%,1.1.1,VIE
Afghanistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",35.4,,2021,%,1.1.1,AFG
Armenia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.4,,2021,%,1.1.1,ARM
Azerbaijan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2021,%,1.1.1,AZE
Bangladesh,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",4,,2021,%,1.1.1,BAN
Bhutan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.8,,2021,%,1.1.1,BHU
Brunei Darussalam,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", – ,,2021,%,1.1.1,BRU
Cambodia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",9.2,,2021,%,1.1.1,CAM
"China, People's Republic of","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.2,,2021,%,1.1.1,PRC
Cook Islands,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,COO
Fiji,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.2,,2021,%,1.1.1,FIJ
Georgia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.5,,2021,%,1.1.1,GEO
"Hong Kong, China","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", – ,,2021,%,1.1.1,HKG
India,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",7.6,,2021,%,1.1.1,IND
Indonesia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.9,,2021,%,1.1.1,INO
Kazakhstan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2021,%,1.1.1,KAZ
Kiribati,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,KIR
"Korea, Republic of","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", – ,,2021,%,1.1.1,KOR
Kyrgyz Republic,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.3,,2021,%,1.1.1,KGZ
Lao People's Democratic Republic,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",9.3,,2021,%,1.1.1,LAO
Malaysia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2021,%,1.1.1,MAL
Maldives,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2021,%,1.1.1,MLD
Marshall Islands,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,RMI
"Micronesia, Federated States of","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,FSM
Mongolia,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2021,%,1.1.1,MON
Myanmar,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",1.3,,2021,%,1.1.1,MYA
Nauru,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,NAU
Nepal,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",3.4,,2021,%,1.1.1,NEP
Niue,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,NIU
Pakistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",3.7,,2021,%,1.1.1,PAK
Palau,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,PAL
Papua New Guinea,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",24,,2021,%,1.1.1,PNG
Philippines,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",2.8,,2021,%,1.1.1,PHI
Samoa,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,SAM
Singapore,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", – ,,2021,%,1.1.1,SIN
Solomon Islands,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",23.5,,2021,%,1.1.1,SOL
Sri Lanka,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.2,,2021,%,1.1.1,SRI
"Taipei,China","Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,TAP
Tajikistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",1.4,,2021,%,1.1.1,TAJ
Thailand,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.1,,2021,%,1.1.1,THA
Timor-Leste,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",22.6,,2021,%,1.1.1,TIM
Tonga,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,TON
Turkmenistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",0.5,,2021,%,1.1.1,TKM
Tuvalu,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,TUV
Uzbekistan,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",6.5,,2021,%,1.1.1,UZB
Vanuatu,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total", … ,,2021,%,1.1.1,VAN
Viet Nam,"Proportion of Employed Population below $1.90 PPP a Day (Age 15+), Total",1.2,,2021,%,1.1.1,VIE
Afghanistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,AFG
Armenia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.4,,2020,%,,ARM
Azerbaijan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,AZE
Bangladesh,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,14.3,,2016,%,,BAN
Bhutan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.5,,2017,%,,BHU
Brunei Darussalam,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,BRU
Cambodia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,CAM
"China, People's Republic of",Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.1,,2019,%,,PRC
Cook Islands,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,COO
Fiji,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,2.6,,2019,%,,FIJ
Georgia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,4.2,,2020,%,,GEO
"Hong Kong, China",Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,HKG
India,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,IND
Indonesia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,2.2,,2021,%,,INO
Kazakhstan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0,,2018,%,,KAZ
Kiribati,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.3,,2019,%,,KIR
"Korea, Republic of",Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.2,,2016,%,,KOR
Kyrgyz Republic,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.1,,2020,%,,KGZ
Lao People's Democratic Republic,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,10,,2018,%,,LAO
Malaysia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0,,2015,%,,MAL
Maldives,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, – ,,2019,%,,MLD
Marshall Islands,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.8,,2019,%,,RMI
"Micronesia, Federated States of",Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,FSM
Mongolia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.5,,2018,%,,MON
Myanmar,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.4,,2017,%,,MYA
Nauru,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,NAU
Nepal,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,NEP
Niue,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,NIU
Pakistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,3.6,,2018,%,,PAK
Palau,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,PAL
Papua New Guinea,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,PNG
Philippines,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,4.7,,2018,%,,PHI
Samoa,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,SAM
Singapore,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,SIN
Solomon Islands,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,SOL
Sri Lanka,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.9,,2016,%,,SRI
"Taipei,China",Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, – ,,2016,%,,TAP
Tajikistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,4.1,,2015,%,,TAJ
Thailand,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0,,2020,%,,THA
Timor-Leste,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,22,,2014,%,,TIM
Tonga,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1,,2015,%,,TON
Turkmenistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,TKM
Tuvalu,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,TUV
Uzbekistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day, … ,,2019,%,,UZB
Vanuatu,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,8.6,,2019,%,,VAN
Viet Nam,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.8,,2018,%,,VIE
Afghanistan,"Proportion of Population Covered by Mobile Network, 2G",90,,2020,%,9.c.1,AFG
Armenia,"Proportion of Population Covered by Mobile Network, 2G",100,,2020,%,9.c.1,ARM
Azerbaijan,"Proportion of Population Covered by Mobile Network, 2G",100,,2020,%,9.c.1,AZE
Bangladesh,"Proportion of Population Covered by Mobile Network, 2G",99.6,,2020,%,9.c.1,BAN
Bhutan,"Proportion of Population Covered by Mobile Network, 2G",98,,2020,%,9.c.1,BHU
Brunei Darussalam,"Proportion of Population Covered by Mobile Network, 2G",99,,2020,%,9.c.1,BRU
Cambodia,"Proportion of Population Covered by Mobile Network, 2G",99,,2020,%,9.c.1,CAM
"China, People's Republic of","Proportion of Population Covered by Mobile Network, 2G",99.9,,2020,%,9.c.1,PRC
Cook Islands,"Proportion of Population Covered by Mobile Network, 2G",100,,2020,%,9.c.1,COO
Fiji,"Proportion of Population Covered by Mobile Network, 2G",98,,2020,%,9.c.1,FIJ
Georgia,"Proportion of Population Covered by Mobile Network, 2G",100,,2020,%,9.c.1,GEO
"Hong Kong, China","Proportion of Population Covered by Mobile Network, 2G",100,,2020,%,9.c.1,HKG
India,"Proportion of Population Covered by Mobile Network, 2G",99.1,,2020,%,9.c.1,IND
Indonesia,"Proportion of Population Covered by Mobile Network, 2G",97.9,,2020,%,9.c.1,INO
Kazakhstan,"Proportion of Population Covered by Mobile Network, 2G",98,,2020,%,9.c.1,KAZ
Kiribati,"Proportion of Population Covered by Mobile Network, 2G",73.4,,2020,%,9.c.1,KIR
"Korea, Republic of","Proportion of Population Covered by Mobile Network, 2G",99.9,,2020,%,9.c.1,KOR
Kyrgyz Republic,"Proportion of Population Covered by Mobile Network, 2G",99.3,,2020,%,9.c.1,KGZ
Lao People's Democratic Republic,"Proportion of Population Covered by Mobile Network, 2G",95,,2020,%,9.c.1,LAO
Malaysia,"Proportion of Population Covered by Mobile Network, 2G",96.7,,2020,%,9.c.1,MAL
Maldives,"Proportion of Population Covered by Mobile Network, 2G",100,,2020,%,9.c.1,MLD
Marshall Islands,"Proportion of Population Covered by Mobile Network, 2G",65,,2020,%,9.c.1,RMI
"Micronesia, Federated States of","Proportion of Population Covered by Mobile Network, 2G",80,,2020,%,9.c.1,FSM
Mongolia,"Proportion of Population Covered by Mobile Network, 2G",100,,2020,%,9.c.1,MON
Myanmar,"Proportion of Population Covered by Mobile Network, 2G",96.7,,2020,%,9.c.1,MYA
Nauru,"Proportion of Population Covered by Mobile Network, 2G",98,,2020,%,9.c.1,NAU
Nepal,"Proportion of Population Covered by Mobile Network, 2G",93,,2020,%,9.c.1,NEP
Niue,"Proportion of Population Covered by Mobile Network, 2G", … ,,2020,%,9.c.1,NIU
Pakistan,"Proportion of Population Covered by Mobile Network, 2G",88.8,,2020,%,9.c.1,PAK
Palau,"Proportion of Population Covered by Mobile Network, 2G",98,,2015,%,9.c.1,PAL
Papua New Guinea,"Proportion of Population Covered by Mobile Network, 2G",89,,2020,%,9.c.1,PNG
Philippines,"Proportion of Population Covered by Mobile Network, 2G",99,,2020,%,9.c.1,PHI
Samoa,"Proportion of Population Covered by Mobile Network, 2G",97,,2020,%,9.c.1,SAM
Singapore,"Proportion of Population Covered by Mobile Network, 2G",100,,2020,%,9.c.1,SIN
Solomon Islands,"Proportion of Population Covered by Mobile Network, 2G",95,,2020,%,9.c.1,SOL
Sri Lanka,"Proportion of Population Covered by Mobile Network, 2G",99,,2020,%,9.c.1,SRI
"Taipei,China","Proportion of Population Covered by Mobile Network, 2G", … ,,2020,%,9.c.1,TAP
Tajikistan,"Proportion of Population Covered by Mobile Network, 2G",90,,2020,%,9.c.1,TAJ
Thailand,"Proportion of Population Covered by Mobile Network, 2G",98.8,,2020,%,9.c.1,THA
Timor-Leste,"Proportion of Population Covered by Mobile Network, 2G",96.5,,2020,%,9.c.1,TIM
Tonga,"Proportion of Population Covered by Mobile Network, 2G",99,,2020,%,9.c.1,TON
Turkmenistan,"Proportion of Population Covered by Mobile Network, 2G",95.8,,2020,%,9.c.1,TKM
Tuvalu,"Proportion of Population Covered by Mobile Network, 2G",50,,2020,%,9.c.1,TUV
Uzbekistan,"Proportion of Population Covered by Mobile Network, 2G",99.3,,2020,%,9.c.1,UZB
Vanuatu,"Proportion of Population Covered by Mobile Network, 2G",90,,2020,%,9.c.1,VAN
Viet Nam,"Proportion of Population Covered by Mobile Network, 2G",99.8,,2020,%,9.c.1,VIE
Afghanistan,"Proportion of Population Covered by Mobile Network, 3G",57,,2020,%,9.c.1,AFG
Armenia,"Proportion of Population Covered by Mobile Network, 3G",100,,2020,%,9.c.1,ARM
Azerbaijan,"Proportion of Population Covered by Mobile Network, 3G",97.6,,2020,%,9.c.1,AZE
Bangladesh,"Proportion of Population Covered by Mobile Network, 3G",97.8,,2020,%,9.c.1,BAN
Bhutan,"Proportion of Population Covered by Mobile Network, 3G",95,,2020,%,9.c.1,BHU
Brunei Darussalam,"Proportion of Population Covered by Mobile Network, 3G",96,,2020,%,9.c.1,BRU
Cambodia,"Proportion of Population Covered by Mobile Network, 3G",88.6,,2020,%,9.c.1,CAM
"China, People's Republic of","Proportion of Population Covered by Mobile Network, 3G",99.9,,2020,%,9.c.1,PRC
Cook Islands,"Proportion of Population Covered by Mobile Network, 3G",55,,2020,%,9.c.1,COO
Fiji,"Proportion of Population Covered by Mobile Network, 3G",96,,2020,%,9.c.1,FIJ
Georgia,"Proportion of Population Covered by Mobile Network, 3G",100,,2020,%,9.c.1,GEO
"Hong Kong, China","Proportion of Population Covered by Mobile Network, 3G",99,,2020,%,9.c.1,HKG
India,"Proportion of Population Covered by Mobile Network, 3G",98.6,,2020,%,9.c.1,IND
Indonesia,"Proportion of Population Covered by Mobile Network, 3G",96.3,,2020,%,9.c.1,INO
Kazakhstan,"Proportion of Population Covered by Mobile Network, 3G",93.4,,2020,%,9.c.1,KAZ
Kiribati,"Proportion of Population Covered by Mobile Network, 3G",72.1,,2020,%,9.c.1,KIR
"Korea, Republic of","Proportion of Population Covered by Mobile Network, 3G",99.9,,2020,%,9.c.1,KOR
Kyrgyz Republic,"Proportion of Population Covered by Mobile Network, 3G",91,,2020,%,9.c.1,KGZ
Lao People's Democratic Republic,"Proportion of Population Covered by Mobile Network, 3G",82,,2020,%,9.c.1,LAO
Malaysia,"Proportion of Population Covered by Mobile Network, 3G",95.3,,2020,%,9.c.1,MAL
Maldives,"Proportion of Population Covered by Mobile Network, 3G",100,,2020,%,9.c.1,MLD
Marshall Islands,"Proportion of Population Covered by Mobile Network, 3G", … ,,2020,%,9.c.1,RMI
"Micronesia, Federated States of","Proportion of Population Covered by Mobile Network, 3G",15,,2020,%,9.c.1,FSM
Mongolia,"Proportion of Population Covered by Mobile Network, 3G",100,,2020,%,9.c.1,MON
Myanmar,"Proportion of Population Covered by Mobile Network, 3G",90.9,,2020,%,9.c.1,MYA
Nauru,"Proportion of Population Covered by Mobile Network, 3G",98,,2020,%,9.c.1,NAU
Nepal,"Proportion of Population Covered by Mobile Network, 3G",54.1,,2020,%,9.c.1,NEP
Niue,"Proportion of Population Covered by Mobile Network, 3G", – ,,2015,%,9.c.1,NIU
Pakistan,"Proportion of Population Covered by Mobile Network, 3G",76.7,,2020,%,9.c.1,PAK
Palau,"Proportion of Population Covered by Mobile Network, 3G",88,,2020,%,9.c.1,PAL
Papua New Guinea,"Proportion of Population Covered by Mobile Network, 3G",64.4,,2020,%,9.c.1,PNG
Philippines,"Proportion of Population Covered by Mobile Network, 3G",96,,2020,%,9.c.1,PHI
Samoa,"Proportion of Population Covered by Mobile Network, 3G",91,,2020,%,9.c.1,SAM
Singapore,"Proportion of Population Covered by Mobile Network, 3G",100,,2020,%,9.c.1,SIN
Solomon Islands,"Proportion of Population Covered by Mobile Network, 3G",45,,2020,%,9.c.1,SOL
Sri Lanka,"Proportion of Population Covered by Mobile Network, 3G",96,,2020,%,9.c.1,SRI
"Taipei,China","Proportion of Population Covered by Mobile Network, 3G", … ,,2020,%,9.c.1,TAP
Tajikistan,"Proportion of Population Covered by Mobile Network, 3G",90,,2020,%,9.c.1,TAJ
Thailand,"Proportion of Population Covered by Mobile Network, 3G",98.8,,2020,%,9.c.1,THA
Timor-Leste,"Proportion of Population Covered by Mobile Network, 3G",96.5,,2020,%,9.c.1,TIM
Tonga,"Proportion of Population Covered by Mobile Network, 3G",99,,2020,%,9.c.1,TON
Turkmenistan,"Proportion of Population Covered by Mobile Network, 3G",75.8,,2020,%,9.c.1,TKM
Tuvalu,"Proportion of Population Covered by Mobile Network, 3G",48,,2020,%,9.c.1,TUV
Uzbekistan,"Proportion of Population Covered by Mobile Network, 3G",90,,2020,%,9.c.1,UZB
Vanuatu,"Proportion of Population Covered by Mobile Network, 3G",70,,2020,%,9.c.1,VAN
Viet Nam,"Proportion of Population Covered by Mobile Network, 3G",99.8,,2020,%,9.c.1,VIE
Afghanistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",26,,2020,%,9.c.1,AFG
Armenia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",100,,2020,%,9.c.1,ARM
Azerbaijan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",93,,2020,%,9.c.1,AZE
Bangladesh,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",97.8,,2020,%,9.c.1,BAN
Bhutan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",80,,2020,%,9.c.1,BHU
Brunei Darussalam,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",95.3,,2020,%,9.c.1,BRU
